cicon,dtaga,class,class.no,subclass,molwt,aglycwght,type,subclass.count
10513403,4'-O-Methyl-(-)-epigallocatechin 3'-O-glucuronide,Flavonoids,1,Flavanols,496,320,Glucuronide,27
10513503,4'-O-Methyl-(-)-epigallocatechin 7-O-glucuronide,Flavonoids,1,Flavanols,496,320,Glucuronide,27
10511403,Epicatechin 3'-O-glucuronide,Flavonoids,1,Flavanols,466,290,Glucuronide,27
10513103,Epicatechin 7-O-glucuronide,Flavonoids,1,Flavanols,466,290,Glucuronide,27
10512203,Epigallocatechin 3-O-gallate-7-O-glucoside-4''-O-glucuronide,Flavonoids,1,Flavanols,796,458,Glucuronide,27
30103703,"2,3-Dihydroxybenzoic acid",Phenolic acids,2,Hydroxybenzoic acids,154,154,Aglycone,26
30103803,"2,4-Dihydroxybenzoic acid",Phenolic acids,2,Hydroxybenzoic acids,154,154,Aglycone,26
30103503,2-Hydroxybenzoic acid,Phenolic acids,2,Hydroxybenzoic acids,138,138,Aglycone,26
30112803,2-Hydroxyhippuric acid,Phenolic acids,2,Hydroxybenzoic acids,195,195,Aglycone,26
30109903,"3,4-O-Dimethylgallic acid",Phenolic acids,2,Hydroxybenzoic acids,198,198,Aglycone,26
30107803,"3,5-Dihydroxybenzoic acid",Phenolic acids,2,Hydroxybenzoic acids,154,154,Aglycone,26
30103603,3-Hydroxybenzoic acid,Phenolic acids,2,Hydroxybenzoic acids,138,138,Aglycone,26
30112703,3-Hydroxyhippuric acid,Phenolic acids,2,Hydroxybenzoic acids,195,195,Aglycone,26
30109703,3-O-Methylgallic acid,Phenolic acids,2,Hydroxybenzoic acids,184,184,Aglycone,26
30100903,4-Hydroxybenzoic acid,Phenolic acids,2,Hydroxybenzoic acids,138,138,Aglycone,26
30112603,4-Hydroxyhippuric acid,Phenolic acids,2,Hydroxybenzoic acids,195,195,Aglycone,26
30109803,4-O-Methylgallic acid,Phenolic acids,2,Hydroxybenzoic acids,184,184,Aglycone,26
30103403,Benzoic acid,Phenolic acids,2,Hydroxybenzoic acids,122,122,Aglycone,26
30100803,Ellagic acid,Phenolic acids,2,Hydroxybenzoic acids,302,302,Aglycone,26
30112003,Gallagic acid,Phenolic acids,2,Hydroxybenzoic acids,602,602,Aglycone,26
30100303,Gallic acid,Phenolic acids,2,Hydroxybenzoic acids,170,170,Aglycone,26
30108503,Gallic acid ethyl ester,Phenolic acids,2,Hydroxybenzoic acids,198,170,Aglycone,26
30100703,Gentisic acid,Phenolic acids,2,Hydroxybenzoic acids,154,154,Aglycone,26
30112903,Hippuric acid,Phenolic acids,2,Hydroxybenzoic acids,179,179,Aglycone,26
30100203,Protocatechuic acid,Phenolic acids,2,Hydroxybenzoic acids,154,154,Aglycone,26
30112503,Punicalin,Phenolic acids,2,Hydroxybenzoic acids,782,782,Aglycone,26
30102003,Syringic acid,Phenolic acids,2,Hydroxybenzoic acids,198,198,Aglycone,26
30100403,Vanillic acid,Phenolic acids,2,Hydroxybenzoic acids,168,168,Aglycone,26
30113003,Paeoniflorin,Phenolic acids,2,Hydroxybenzoic acids,480,,Glycoside,26
30111903,Punicalagin,Phenolic acids,2,Hydroxybenzoic acids,1084,302,Glycoside,26
90809203,Vanillic acid 4-sulfate,Phenolic acids,2,Hydroxybenzoic acids,248,168,Sulfate,26
30506503,"3-(3,4-Dihydroxyphenyl)-2-methoxypropionic acid",Phenolic acids,2,Hydroxyphenylpropanoic acids,212,212,Aglycone,19
30508103,"3,4-Dihydroxyphenyllactic acid methyl ester",Phenolic acids,2,Hydroxyphenylpropanoic acids,212,212,Aglycone,19
30506403,3-Hydroxy-3-(3-hydroxyphenyl)propionic acid,Phenolic acids,2,Hydroxyphenylpropanoic acids,182,182,Aglycone,19
30508403,3-Hydroxy-4-methoxyphenyllactic acid,Phenolic acids,2,Hydroxyphenylpropanoic acids,212,212,Aglycone,19
30506603,3-Hydroxyphenylpropionic acid,Phenolic acids,2,Hydroxyphenylpropanoic acids,166,166,Aglycone,19
30507903,3-Methoxy-4-hydroxyphenyllactic acid,Phenolic acids,2,Hydroxyphenylpropanoic acids,212,212,Aglycone,19
30508303,3-Phenylpropionic acid,Phenolic acids,2,Hydroxyphenylpropanoic acids,150,150,Aglycone,19
30508603,4-Hydroxyphenyl-2-propionic acid,Phenolic acids,2,Hydroxyphenylpropanoic acids,166,166,Aglycone,19
30507703,Danshensu,Phenolic acids,2,Hydroxyphenylpropanoic acids,198,198,Aglycone,19
30506303,Dihydrocaffeic acid,Phenolic acids,2,Hydroxyphenylpropanoic acids,182,182,Aglycone,19
30507203,Dihydroferulic acid,Phenolic acids,2,Hydroxyphenylpropanoic acids,196,196,Aglycone,19
30507603,Dihydroferuloylglycine,Phenolic acids,2,Hydroxyphenylpropanoic acids,253,253,Aglycone,19
30506003,Dihydro-p-coumaric acid,Phenolic acids,2,Hydroxyphenylpropanoic acids,166,166,Aglycone,19
30507403,Dihydrosinapic acid,Phenolic acids,2,Hydroxyphenylpropanoic acids,240,240,Aglycone,19
