bc.no,inter,dose.type,species,species2,cicon,cicon2,identified.as,compound,metab.type,subclass,method,meth.extr,biofluid,hydrolysis.full,hydroylsis,quantified,trace,comments
2090,354,Experimental food,rat,Rat,10105203,101052,delphinidin-3-rutinoside,Delphinidin 3-O-rutinoside,Glycoside,Anthocyanins,78,PP,plasma,None,no,TRUE,FALSE,
2143,370,Experimental food,rat,Rat,10105203,101052,delphinidin 3-rutinoside,Delphinidin 3-O-rutinoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,FALSE,FALSE,
2078,350,Experimental food,rat,Rat,10105403,101054,pelargonidin-3(6-malonyl)glucoside,Pelargonidin 3-O-(6''-malonyl-glucoside),Glycoside,Anthocyanins,78,PP,urine,None,no,TRUE,FALSE,
2079,350,Experimental food,rat,Rat,10105403,101054,pelargonidin-3(6-malonyl)glucoside,Pelargonidin 3-O-(6''-malonyl-glucoside),Glycoside,Anthocyanins,78,PP,plasma,None,no,TRUE,FALSE,
1911,318,Experimental food,rat,Rat,10105703,101057,malvidin 3-O-?-D-galactopiranoside,Malvidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,plasma,None,no,TRUE,FALSE,
1958,325,Food,rat,Rat,10105703,101057,malvidin-3-O-galactose,Malvidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
2017,340,Food,rat,Rat,10105703,101057,malvidin 3-O-galactoside,Malvidin 3-O-galactoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1957,325,Food,rat,Rat,10105803,101058,peonidin-3-O-arabinose,Peonidin 3-O-arabinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
271,92,Food,rat,Rat,10106503,101065,cyanidin 3-O-xylosylrutinoside,Cyanidin 3-O-xylosyl-rutinoside,Glycoside,Anthocyanins,78,None,urine,None,no,TRUE,FALSE,
2023,339,Food,rat,Rat,10106503,101065,cyanidin 3-O-2G-xylosylrutinoside,Cyanidin 3-O-xylosyl-rutinoside,Glycoside,Anthocyanins,78,SPE,urine,None,no,TRUE,FALSE,
1971,331,Experimental food,rat,Rat,10108703,101087,cyanidin-3-O-dioxalylglucoside,Cyanidin 3-O-(6''-dioxalyl-glucoside),Glycoside,Anthocyanins,78,SPE,plasma,None,no,FALSE,FALSE,
