CLASS,SUBCLASS,FAMILY,DTAGA,CICON,CICON2
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,4-Hydroxybenzoic acid,30100901,301009
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gallic acid,30100301,301003
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gentisic acid,30100701,301007
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Syringic acid,30102001,301020
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Vanillic acid,30100401,301004
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Caffeic acid,30200501,302005
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,p-Coumaric acid,30200101,302001
Phenolic acids,Hydroxycinnamic acids,Methoxycinnamic acids,Ferulic acid,30200801,302008
Other polyphenols,Furanocoumarins,Furanocoumarins,Bergapten,90700101,907001
Other polyphenols,Furanocoumarins,Furanocoumarins,Isopimpinellin,90700401,907004
Other polyphenols,Furanocoumarins,Furanocoumarins,Psoralen,90700201,907002
Other polyphenols,Furanocoumarins,Furanocoumarins,Xanthotoxin,90700301,907003
Flavonoids,Flavanones,Flavanones,Naringenin,10600101,106001
Flavonoids,Flavanones,Methoxyflavanones,Hesperetin,10600301,106003
Flavonoids,Flavones,Flavones,Apigenin,10700101,107001
Flavonoids,Flavones,Flavones,Luteolin,10700201,107002
Flavonoids,Flavonols,Flavonols,Kaempferol,10800101,108001
Flavonoids,Flavonols,Flavonols,Myricetin,10802201,108022
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Flavonoids,Flavonols,Methoxyflavonols,Isorhamnetin,10803401,108034
Flavonoids,Flavanones,Flavanones,Eriocitrin,10600701,106007
Flavonoids,Flavanones,Flavanones,Eriodictyol 7-O-glucoside,10602801,106028
Flavonoids,Flavanones,Flavanones,Hesperidin,10600801,106008
Flavonoids,Flavanones,Flavanones,Narirutin,10601001,106010
Flavonoids,Flavones,Flavones,Isorhoifolin,10700601,107006
Flavonoids,Flavones,Flavones,Luteolin 7-O-glucoside,10702001,107020
Flavonoids,Flavones,Flavones,Luteolin 7-O-rutinoside,10701801,107018
Flavonoids,Flavones,Methoxyflavones,"5,6-Dihydroxy-7,8,3',4'-tetramethoxyflavone",10707501,107075
Flavonoids,Flavones,Methoxyflavones,Diosmin,10700501,107005
Flavonoids,Flavones,Methoxyflavones,Gardenin B,10707701,107077
Flavonoids,Flavones,Methoxyflavones,Pebrellin,10707601,107076
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,Rosmarinic acid,30201101,302011
Flavonoids,Flavones,Flavones,Apigenin,10700101,107001
Flavonoids,Flavones,Flavones,Luteolin,10700201,107002
Flavonoids,Flavonols,Flavonols,Kaempferol,10800101,108001
Flavonoids,Flavonols,Flavonols,Myricetin,10802201,108022
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Flavonoids,Flavanols,Catechins,(+)-Catechin,10500101,105001
Flavonoids,Flavanones,Flavanones,Eriodictyol,10600201,106002
Flavonoids,Flavanones,Flavanones,Naringenin,10600101,106001
Flavonoids,Flavones,Flavones,Apigenin,10700101,107001
Flavonoids,Flavones,Flavones,Luteolin,10700201,107002
Flavonoids,Flavonols,Flavonols,Quercetin,10800201,108002
Flavonoids,Flavonols,Flavonols,Quercetin 3-O-rutinoside,10800701,108007
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,4-Hydroxybenzoic acid,30100901,301009
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gallic acid,30100301,301003
Phenolic acids,Hydroxybenzoic acids,Hydroxybenzoic acids,Gentisic acid,30100701,301007
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Syringic acid,30102001,301020
Phenolic acids,Hydroxybenzoic acids,Methoxybenzoic acids,Vanillic acid,30100401,301004
Phenolic acids,Hydroxycinnamic acids,Hydroxycinnamic acids,5-Caffeoylquinic acid,30203301,302033
