bc.no,inter,species,cicon,compound,subclass,mol.wt,hydrolysis,urinary.ex,ue.error,error.measure,ue.period
2112,357,pig,10101003,Cyanidin 3-O-rutinoside,Anthocyanins,595,None,0.0891,0.0228,SEM,NA
2113,357,pig,10103103,Delphinidin 3-O-glucoside,Anthocyanins,465,None,0.0221,0.0071,SEM,NA
2114,358,pig,10108003,Cyanidin 3-O-sambubioside 5-O-glucoside,Anthocyanins,743,None,0.2104,0.036,SEM,NA
2115,357,pig,10105203,Delphinidin 3-O-rutinoside,Anthocyanins,611,None,0.0708,0.0213,SEM,NA
2116,357,pig,10116903,Isopeonidin 3-O-rutinoside,Anthocyanins,609,None,0.0071,0.0022,SEM,NA
2117,357,pig,10101903,Peonidin 3-O-rutinoside,Anthocyanins,609,None,0.008,0.0021,SEM,NA
2118,356,pig,10103703,Peonidin 3-O-galactoside,Anthocyanins,463,None,0.0238,0.004,SEM,NA
2119,356,pig,10116703,Isopeonidin 3-O-galactoside,Anthocyanins,463,None,0.007,0.0011,SEM,NA
2120,356,pig,10116603,Isopeonidin 3-O-arabinoside,Anthocyanins,433,None,0.0047,0.0009,SEM,NA
2121,356,pig,10105803,Peonidin 3-O-arabinoside,Anthocyanins,433,None,0.0175,0.0032,SEM,NA
2122,356,pig,10117103,Isopeonidin 3-O-xyloside,Anthocyanins,433,None,0.0078,0.0014,SEM,NA
2123,356,pig,10115703,Peonidin 3-O-xyloside,Anthocyanins,433,None,0.0143,0.0032,SEM,NA
2125,358,pig,10117003,Isopeonidin 3-O-sambubioside,Anthocyanins,595,None,0.0096,0.0017,SEM,NA
2126,358,pig,10115503,Peonidin 3-O-sambubioside,Anthocyanins,595,None,0.0231,0.0035,SEM,NA
2127,357,pig,10116803,Isopeonidin 3-O-glucoside,Anthocyanins,463,None,0.005,0.001,SEM,NA
2128,358,pig,10116803,Isopeonidin 3-O-glucoside,Anthocyanins,463,None,0.0056,0.008,SEM,NA
2129,357,pig,10101803,Peonidin 3-O-glucoside,Anthocyanins,463,None,0.0033,0.008,SEM,NA
2130,358,pig,10101803,Peonidin 3-O-glucoside,Anthocyanins,463,None,0.02,0.0019,SEM,NA
2154,372,human,10100803,Cyanidin 3-O-galactoside,Anthocyanins,449,None,3.7,0.6,SEM,NA
2155,372,human,10100903,Cyanidin 3-O-glucoside,Anthocyanins,449,None,1.4,0.7,SEM,NA
2156,372,human,10103503,Cyanidin 3-O-arabinoside,Anthocyanins,419,None,3.6,0.5,SEM,NA
2157,372,human,10103703,Peonidin 3-O-galactoside,Anthocyanins,463,None,11,1.6,SEM,NA
2158,372,human,10101803,Peonidin 3-O-glucoside,Anthocyanins,463,None,11.3,2.6,SEM,NA
2159,372,human,10105803,Peonidin 3-O-arabinoside,Anthocyanins,433,None,2,0.3,SEM,NA
2552,893,human,10900103,Daidzein,Isoflavonoids,254,?-glucuronidase and sulfatase,13,NA,NA,NA
2553,893,human,10900303,Genistein,Isoflavonoids,270,?-glucuronidase and sulfatase,6,NA,NA,NA
2554,893,human,10905703,Equol,Isoflavonoids,242,?-glucuronidase and sulfatase,24,NA,NA,NA
2612,903,human,10900103,Daidzein,Isoflavonoids,254,?-glucuronidase and sulfatase,11.6,2.3,SD,NA
2613,904,human,10900103,Daidzein,Isoflavonoids,254,?-glucuronidase and sulfatase,38.9,5.4,SD,NA
2640,905,human,10905703,Equol,Isoflavonoids,242,?-glucuronidase and sulfatase,81,NA,SD,NA
2641,906,human,10905703,Equol,Isoflavonoids,242,?-glucuronidase and sulfatase,82.2,23.9,SD,NA
2645,908,human,10900103,Daidzein,Isoflavonoids,254,?-glucuronidase and sulfatase,35.8,NA,SD,72
2647,908,human,10900303,Genistein,Isoflavonoids,270,?-glucuronidase and sulfatase,17.6,NA,SD,72
2649,908,human,10905703,Equol,Isoflavonoids,242,?-glucuronidase and sulfatase,7,NA,SD,72
2651,908,human,10907003,O-Desmethylangolensin,Isoflavonoids,258,?-glucuronidase and sulfatase,4,NA,SD,72
2728,921,rat,70104003,Sesaminol 2-O-triglucoside,Lignans,777,sulfatase,0.1,NA,SD,24
2730,921,rat,70101603,Sesaminol,Lignans,370,sulfatase,0.002,NA,SD,24
2812,933,rat,70103803,Enterodiol,Lignans,302,?-glucuronidase and sulfatase,60,NA,NA,48
2813,934,rat,70103803,Enterodiol,Lignans,302,?-glucuronidase and sulfatase,50,NA,NA,48
2814,933,rat,70103903,Enterolactone,Lignans,298,?-glucuronidase and sulfatase,6,NA,NA,48
2815,934,rat,70103903,Enterolactone,Lignans,298,?-glucuronidase and sulfatase,9.5,NA,NA,48
2816,933,rat,70100103,Secoisolariciresinol,Lignans,362,?-glucuronidase and sulfatase,14,NA,NA,48
2817,934,rat,70100103,Secoisolariciresinol,Lignans,362,?-glucuronidase and sulfatase,16,NA,NA,48
2826,935,rat,70103903,Enterolactone,Lignans,298,?-glucuronidase and sulfatase,76,2.8,NA,24
2827,936,rat,70103903,Enterolactone,Lignans,298,?-glucuronidase and sulfatase,59,8.8,NA,24
2828,937,rat,70103903,Enterolactone,Lignans,298,?-glucuronidase and sulfatase,58,7.4,NA,24
2829,938,rat,70103903,Enterolactone,Lignans,298,?-glucuronidase and sulfatase,17,4.7,NA,24
